STATE,RACE,S1_DEM_RATIO,S2_DEM_RATIO,S3_DEM_RATIO,S4_DEM_RATIO,S5_DEM_RATIO,S6_DEM_RATIO,S1_REP_RATIO,S2_REP_RATIO,S3_REP_RATIO,S4_REP_RATIO,S5_REP_RATIO,S6_REP_RATIO,S1_COR(DD),S2_COR(DD),S3_COR(DD),S4_COR(DD),S5_COR(DD),S6_COR(DD),S1_COR(RR),S2_COR(RR),S3_COR(RR),S4_COR(RR),S5_COR(RR),S6_COR(RR),TIGHT_RACE,WINNER
VA,D,1.12705959,1.066091109,1.069875787,1.02936659,1.011064575,1.001700125,0.954040408,0.959154475,0.929681284,0.941098997,0.934480561,1.19624958,0.982899386,0.991776267,0.969464792,0.95528861,0.892114438,0.968040905,0.991284076,0.988467879,0.987511417,0.907968061,0.927206092,0.931433785,FALSE,D
VA,D,1.120982034,1.082984237,1.060469136,1.049162173,1.016413195,0.990463758,0.970856203,0.970142741,0.968874813,0.964036148,0.982165764,1.035274189,0.992718389,0.979649579,0.987799147,0.990906527,0.980743691,0.942210464,0.996205605,0.988423317,0.996586449,0.992922259,0.98424894,0.87950557,TRUE,R
VA,D,1.089216381,1.091540301,1.082937551,1.068782184,1.06070543,1.034153257,0.959415506,0.94218795,0.935625835,0.934544702,0.919606489,0.936514632,0.985794527,0.983312365,0.966388874,0.931049524,0.975169647,0.981020239,0.986303691,0.967781413,0.944622087,0.957890577,0.979407434,0.981271025,TRUE,D
VA,S,1.303522479,1.186576164,1.155744046,1.118471183,1.076215402,1.032729371,0.932608757,0.921394456,0.895339561,0.871314872,0.857896024,0.888671651,0.988115245,0.9779924,0.9752087,0.937326831,0.931531573,0.918303855,0.969871986,0.983450621,0.975018218,0.951170353,0.896188611,0.962027666,FALSE,D
VA,S,1.113454841,1.033796804,1.000930175,1.003778908,0.977395622,0.961394364,0.963393873,0.98193735,0.999382296,0.994400076,1.038293444,1.282558633,0.890106202,0.890801112,0.802284214,0.832298231,0.898048632,0.782334358,0.92016396,0.907236102,0.830047856,0.863510978,0.912098277,0.832543884,TRUE,D
VA,D,1.00067136,0.992658028,1.008751536,0.996746678,0.976005444,0.962811339,1.002448809,1.01237724,0.98304064,1.007208917,1.067028084,1.155382872,0.822705862,0.714778757,0.596777642,0.971183994,0.900891155,0.962087988,0.982343349,0.922559473,0.809312692,0.986471191,0.960142726,0.975051883,FALSE,D
VA,D,0.815117201,0.820714897,0.845870431,0.822473452,0.826293298,0.84939682,1.087290258,1.12331454,1.137371234,1.194871302,1.256097237,1.372085375,0.976838252,0.939039233,0.883204825,0.787921161,0.706561601,0.91884455,0.993386016,0.957225545,0.95766486,0.868653436,0.773943283,0.958548545,FALSE,R
VA,D,0.673186299,0.732903241,0.774536283,0.76967328,0.833639772,0.863405781,1.116801702,1.146807908,1.17190069,1.245910025,1.2999401,2.485296249,0.951344763,0.93707787,0.930180733,0.764584456,0.628973849,0.940613054,0.977478824,0.983522675,0.959950722,0.843860005,0.847479096,0.96840641,FALSE,R
VA,D,0.745412972,0.727565217,0.774086074,0.795423805,0.834448488,0.882485292,1.096135681,1.14076177,1.156780208,1.193725166,1.207696545,1.392387452,0.919395857,0.935653864,0.89199496,0.933686213,0.865922873,0.90137442,0.968646301,0.925599142,0.894750512,0.968977198,0.872073572,0.864977554,FALSE,R
VA,D,0.817932684,0.855650272,0.877859441,0.855767998,0.865031509,0.829284669,1.101646064,1.105104569,1.11148219,1.155584067,1.167217216,1.300254583,0.82666772,0.689081952,0.851553419,0.959231101,0.814432726,0.960791406,0.897219682,0.711399201,0.836193159,0.97178588,0.884113291,0.985635549,FALSE,R
VA,D,0.983871704,0.982368087,0.920749673,0.927673694,0.936519995,0.905391764,1.017565986,1.023233664,1.121370019,1.126277355,1.137634974,1.296606043,0.879353552,0.94914445,0.90309046,0.994555758,0.719892252,0.674326783,0.847587197,0.96340137,0.946130056,0.993089505,0.731287425,0.88420882,FALSE,D
VA,D,0.700679815,0.805220615,0.757654746,0.807392055,0.840065838,0.798225334,1.13294752,1.113703567,1.177301745,1.177225669,1.205074235,1.546439705,0.879628525,0.962892461,0.817629939,0.742291253,0.820631712,0.963252351,0.973518715,0.981748105,0.851082038,0.804825227,0.845465904,0.969505161,FALSE,R
VA,D,0.929852129,0.9240033,0.866949388,0.896464727,0.906776795,0.938647532,1.029324165,1.040176161,1.085798756,1.08029018,1.095986104,1.117624863,0.91999801,0.874109355,0.926254254,0.765329594,0.903993487,0.928923841,0.981028508,0.845335745,0.985979934,0.805027986,0.894588908,0.988804836,FALSE,R
MN,S,1.241800599,1.123361095,1.094382995,1.069071471,1.040826852,1.012571576,0.905507128,0.920738987,0.923627525,0.929124919,0.943972591,1.000345785,0.990331663,0.988380015,0.984235848,0.984811077,0.978865237,0.947884579,0.994342284,0.991961352,0.987937024,0.988988539,0.984527027,0.957085946,FALSE,D
MN,D,1.116710818,1.029153355,1.013430823,0.97782734,0.928656004,0.912159445,0.952834034,0.980862553,0.98843717,1.028373516,1.112011105,1.244827268,0.977650156,0.993234443,0.991493696,0.98550865,0.984724354,0.977069989,0.98538718,0.989927577,0.982739433,0.987027184,0.984336239,0.976121028,TRUE,D
MN,D,0.718515534,0.728225127,0.742678384,0.764400443,0.784694105,0.802152756,1.161645105,1.215630201,1.24410872,1.25755368,1.280479338,1.379773815,0.986409598,0.936178171,0.960161156,0.909109071,0.928681582,0.876199585,0.989976221,0.962817657,0.95230983,0.914264743,0.95699469,0.956405427,FALSE,R
MN,D,0.756559717,0.785274928,0.805902883,0.811893856,0.826281946,0.84351388,1.12997062,1.153638337,1.170412103,1.195107593,1.211535025,1.271476901,0.99136715,0.981852991,0.956997863,0.965450336,0.935598793,0.961444754,0.99865029,0.989329762,0.976607731,0.984287476,0.968421389,0.984864387,FALSE,R
MN,G,1.093543846,1.032866472,1.014979229,1.00812201,0.997537135,0.98784943,0.965657519,0.979071405,0.98788382,0.991716564,1.003627505,1.055672486,0.990334814,0.988880508,0.981823823,0.98346242,0.976664381,0.945414302,0.995252854,0.992175064,0.988414444,0.989698466,0.985023968,0.954298395,TRUE,D
MN,D,1.061982631,1.043570614,1.037459201,1.040123944,1.008653367,0.999187468,0.947881787,0.947701769,0.944347359,0.906996301,0.974347932,1.043037498,0.979934603,0.9789511,0.894350906,0.977457849,0.903864552,0.842564603,0.981606261,0.979455965,0.946866394,0.908631517,0.963181359,0.938879947,FALSE,D
MN,D,0.969402689,0.977558347,0.974737804,1.010385502,1.013707827,0.981830587,1.043955493,1.044261512,1.060246601,0.964357461,0.929154156,1.246433037,0.897974282,0.958282133,0.891647224,0.862966274,0.780282129,0.799617894,0.906812557,0.962422147,0.913443578,0.881886915,0.736649071,0.865471859,FALSE,D
MN,D,1.292526607,1.143786854,1.132069146,1.081154696,1.07766618,1.038963717,0.888870226,0.906764779,0.893623964,0.922195927,0.908551941,0.926781454,0.980818591,0.984915165,0.990886737,0.98541101,0.976941983,0.932461739,0.991305083,0.991730501,0.994454731,0.990055868,0.984160514,0.908845195,TRUE,D
MN,D,1.707417873,1.398831883,1.298761192,1.260660027,1.198531118,1.099612689,0.768520544,0.781692323,0.794811099,0.780839015,0.788891454,0.946741906,0.962150458,0.988511743,0.986471706,0.985580348,0.980936479,0.971250698,0.975278761,0.991462846,0.987161463,0.986436306,0.980183474,0.968303279,TRUE,D
MN,D,1.02855628,0.98512139,0.979544131,0.982645989,0.968051363,0.976367278,0.991098413,1.009031446,1.013336606,1.012731425,1.030832206,1.02340312,0.966766688,0.972208737,0.968174714,0.9439912,0.951351699,0.862404551,0.991298905,0.994094706,0.983127554,0.949689087,0.98641934,0.929128877,FALSE,R
CO,S,0.853286426,0.905368806,0.931127073,0.938036205,0.953931363,0.973145393,1.049449645,1.059373789,1.063681876,1.084360571,1.091990882,1.147230835,0.926020072,0.894787095,0.838622348,0.791169611,0.862840088,0.881007531,0.957516119,0.942674325,0.921671085,0.805229921,0.819124307,0.926037648,TRUE,R
