DISTRICT,OFFICE,PRECINCT,COUNTY,STATE,DEM,REP
D8,U.S. Representative District 8,50,38,MN,264,356
D8,U.S. Representative District 8,50,48,MN,168,198
D8,U.S. Representative District 8,50,49,MN,84,250
D8,U.S. Representative District 8,50,58,MN,27,39
D8,U.S. Representative District 8,50,69,MN,117,164
D8,U.S. Representative District 8,50,80,MN,8,23
D8,U.S. Representative District 8,52,29,MN,15,30
D8,U.S. Representative District 8,55,1,MN,43,51
D8,U.S. Representative District 8,55,4,MN,79,144
D8,U.S. Representative District 8,55,9,MN,592,401
D8,U.S. Representative District 8,55,11,MN,10,21
D8,U.S. Representative District 8,55,13,MN,966,1251
D8,U.S. Representative District 8,55,16,MN,84,47
D8,U.S. Representative District 8,55,18,MN,467,895
D8,U.S. Representative District 8,55,29,MN,274,438
D8,U.S. Representative District 8,55,30,MN,127,324
D8,U.S. Representative District 8,55,31,MN,160,260
D8,U.S. Representative District 8,55,33,MN,94,219
D8,U.S. Representative District 8,55,36,MN,343,255
D8,U.S. Representative District 8,55,48,MN,78,164
D8,U.S. Representative District 8,55,49,MN,64,192
D8,U.S. Representative District 8,55,58,MN,139,265
D8,U.S. Representative District 8,55,69,MN,268,203
D8,U.S. Representative District 8,55,80,MN,29,89
D8,U.S. Representative District 8,57,30,MN,0,0
D8,U.S. Representative District 8,60,9,MN,529,411
D8,U.S. Representative District 8,60,11,MN,16,25
D8,U.S. Representative District 8,60,13,MN,334,663
D8,U.S. Representative District 8,60,16,MN,66,29
D8,U.S. Representative District 8,60,18,MN,191,324
D8,U.S. Representative District 8,60,29,MN,71,151
D8,U.S. Representative District 8,60,30,MN,215,571
D8,U.S. Representative District 8,60,31,MN,182,104
D8,U.S. Representative District 8,60,33,MN,226,315
D8,U.S. Representative District 8,60,36,MN,488,455
D8,U.S. Representative District 8,60,38,MN,372,288
D8,U.S. Representative District 8,60,48,MN,277,178
D8,U.S. Representative District 8,60,49,MN,8,36
D8,U.S. Representative District 8,60,58,MN,55,117
D8,U.S. Representative District 8,60,69,MN,236,247
D8,U.S. Representative District 8,60,80,MN,26,52
D8,U.S. Representative District 8,65,1,MN,383,537
D8,U.S. Representative District 8,65,4,MN,21,52
D8,U.S. Representative District 8,65,9,MN,128,35
D8,U.S. Representative District 8,65,11,MN,15,65
D8,U.S. Representative District 8,65,13,MN,418,679
D8,U.S. Representative District 8,65,16,MN,239,173
D8,U.S. Representative District 8,65,18,MN,328,261
D8,U.S. Representative District 8,65,29,MN,252,497
D8,U.S. Representative District 8,65,30,MN,202,512
D8,U.S. Representative District 8,65,31,MN,50,53
D8,U.S. Representative District 8,65,33,MN,30,72
D8,U.S. Representative District 8,65,38,MN,54,55
D8,U.S. Representative District 8,65,48,MN,7,9
D8,U.S. Representative District 8,65,49,MN,80,345
D8,U.S. Representative District 8,65,58,MN,21,26
D8,U.S. Representative District 8,65,69,MN,155,158
D8,U.S. Representative District 8,65,80,MN,49,167
D8,U.S. Representative District 8,66,13,MN,683,971
D8,U.S. Representative District 8,66,69,MN,2,1
