STATE,COUNTY,PRECINCT,REP,DEM,LLOYD J PRINCETON
NM,BERNALILLO,357,27.0,193.0,16.0
NM,BERNALILLO,358,35.0,204.0,12.0
NM,BERNALILLO,371,149.0,413.0,20.0
NM,BERNALILLO,372,66.0,209.0,12.0
NM,BERNALILLO,373,75.0,198.0,14.0
NM,BERNALILLO,374,62.0,262.0,11.0
NM,BERNALILLO,375,159.0,519.0,21.0
NM,BERNALILLO,381,39.0,318.0,9.0
NM,BERNALILLO,382,59.0,253.0,7.0
NM,BERNALILLO,383,40.0,316.0,14.0
NM,BERNALILLO,384,107.0,335.0,19.0
NM,BERNALILLO,385,74.0,316.0,9.0
NM,BERNALILLO,386,39.0,238.0,14.0
NM,BERNALILLO,387,72.0,268.0,14.0
NM,BERNALILLO,400,78.0,145.0,15.0
NM,BERNALILLO,401,115.0,237.0,36.0
NM,BERNALILLO,402,147.0,238.0,29.0
NM,BERNALILLO,403,101.0,220.0,29.0
NM,BERNALILLO,404,190.0,297.0,22.0
NM,BERNALILLO,405,122.0,254.0,19.0
NM,BERNALILLO,406,94.0,191.0,13.0
NM,BERNALILLO,407,266.0,343.0,23.0
NM,BERNALILLO,408,194.0,195.0,25.0
NM,BERNALILLO,409,213.0,400.0,26.0
NM,BERNALILLO,410,172.0,252.0,16.0
NM,BERNALILLO,411,114.0,269.0,14.0
NM,BERNALILLO,412,46.0,150.0,11.0
NM,BERNALILLO,413,180.0,325.0,24.0
NM,BERNALILLO,414,84.0,134.0,13.0
NM,BERNALILLO,415,102.0,143.0,9.0
NM,BERNALILLO,416,89.0,216.0,15.0
NM,BERNALILLO,417,108.0,257.0,21.0
NM,BERNALILLO,418,228.0,270.0,33.0
NM,BERNALILLO,419,306.0,364.0,34.0
NM,BERNALILLO,420,256.0,387.0,40.0
NM,BERNALILLO,421,226.0,269.0,19.0
NM,BERNALILLO,422,536.0,592.0,50.0
NM,BERNALILLO,423,692.0,677.0,66.0
NM,BERNALILLO,424,774.0,637.0,70.0
NM,BERNALILLO,425,546.0,499.0,61.0
NM,BERNALILLO,426,394.0,371.0,28.0
NM,BERNALILLO,427,687.0,692.0,54.0
NM,BERNALILLO,428,209.0,332.0,22.0
NM,BERNALILLO,429,371.0,425.0,42.0
NM,BERNALILLO,430,242.0,258.0,31.0
NM,BERNALILLO,431,121.0,206.0,15.0
NM,BERNALILLO,432,121.0,326.0,21.0
NM,BERNALILLO,433,92.0,191.0,18.0
NM,BERNALILLO,434,75.0,164.0,19.0
NM,BERNALILLO,435,165.0,279.0,22.0
NM,BERNALILLO,436,100.0,201.0,18.0
NM,BERNALILLO,437,50.0,151.0,11.0
NM,BERNALILLO,438,79.0,294.0,18.0
NM,BERNALILLO,439,170.0,421.0,34.0
NM,BERNALILLO,440,91.0,128.0,13.0
NM,BERNALILLO,441,97.0,221.0,21.0
NM,BERNALILLO,442,78.0,220.0,17.0
NM,BERNALILLO,443,77.0,189.0,11.0
NM,BERNALILLO,444,87.0,200.0,9.0
NM,BERNALILLO,445,128.0,203.0,16.0
NM,BERNALILLO,446,126.0,208.0,17.0
NM,BERNALILLO,447,941.0,580.0,79.0
NM,BERNALILLO,448,353.0,491.0,38.0
NM,BERNALILLO,449,188.0,401.0,28.0
NM,BERNALILLO,450,192.0,182.0,14.0
NM,BERNALILLO,451,133.0,212.0,14.0
NM,BERNALILLO,452,149.0,189.0,19.0
NM,BERNALILLO,453,260.0,489.0,32.0
NM,BERNALILLO,454,314.0,329.0,29.0
NM,BERNALILLO,455,707.0,999.0,85.0
NM,BERNALILLO,456,389.0,387.0,53.0
NM,BERNALILLO,461,110.0,169.0,16.0
NM,BERNALILLO,462,97.0,169.0,11.0
NM,BERNALILLO,463,133.0,178.0,15.0
NM,BERNALILLO,464,104.0,147.0,16.0
NM,BERNALILLO,465,181.0,332.0,27.0
NM,BERNALILLO,466,196.0,212.0,20.0
NM,BERNALILLO,471,150.0,198.0,29.0
NM,BERNALILLO,472,141.0,160.0,11.0
NM,BERNALILLO,473,86.0,219.0,24.0
NM,BERNALILLO,474,109.0,141.0,14.0
NM,BERNALILLO,475,158.0,251.0,15.0
NM,BERNALILLO,476,205.0,243.0,32.0
NM,BERNALILLO,477,128.0,362.0,28.0
NM,BERNALILLO,478,156.0,303.0,20.0
NM,BERNALILLO,480,257.0,317.0,18.0
NM,BERNALILLO,481,70.0,150.0,20.0
NM,BERNALILLO,482,301.0,236.0,24.0
NM,BERNALILLO,483,313.0,327.0,35.0
NM,BERNALILLO,484,153.0,239.0,29.0
NM,BERNALILLO,485,252.0,316.0,24.0
NM,BERNALILLO,486,265.0,378.0,46.0
NM,BERNALILLO,487,224.0,248.0,19.0
NM,BERNALILLO,488,271.0,285.0,23.0
NM,BERNALILLO,489,283.0,314.0,38.0
NM,BERNALILLO,490,309.0,191.0,18.0
NM,BERNALILLO,491,148.0,190.0,14.0
NM,BERNALILLO,492,117.0,158.0,21.0
NM,BERNALILLO,493,198.0,224.0,24.0
NM,BERNALILLO,494,146.0,195.0,21.0
NM,BERNALILLO,495,210.0,270.0,23.0
NM,BERNALILLO,496,189.0,161.0,14.0
NM,BERNALILLO,497,179.0,244.0,19.0
NM,BERNALILLO,498,161.0,306.0,21.0
NM,BERNALILLO,499,184.0,240.0,16.0
NM,BERNALILLO,500,285.0,284.0,27.0
NM,BERNALILLO,502,160.0,300.0,35.0
NM,BERNALILLO,503,102.0,176.0,19.0
NM,BERNALILLO,504,103.0,170.0,17.0
NM,BERNALILLO,505,145.0,198.0,25.0
NM,BERNALILLO,506,124.0,178.0,20.0
NM,BERNALILLO,507,167.0,190.0,19.0
NM,BERNALILLO,508,145.0,180.0,14.0
NM,BERNALILLO,509,81.0,146.0,14.0
NM,BERNALILLO,510,231.0,302.0,25.0
NM,BERNALILLO,511,231.0,243.0,20.0
NM,BERNALILLO,512,258.0,296.0,34.0
NM,BERNALILLO,513,349.0,355.0,31.0
NM,BERNALILLO,514,238.0,280.0,28.0
NM,BERNALILLO,515,202.0,189.0,16.0
NM,BERNALILLO,516,256.0,335.0,44.0
NM,BERNALILLO,517,213.0,187.0,28.0
