STATE,COUNTY,PRECINCT,REP,DEM,CHRISTOPHER MANNING
NM,MCKINLEY,26,0.0,0.0,0.0
NM,MCKINLEY,27,0.0,0.0,0.0
NM,MCKINLEY,28,18.0,217.0,15.0
NM,MCKINLEY,29,0.0,0.0,0.0
NM,MCKINLEY,30,0.0,0.0,0.0
NM,MCKINLEY,31,74.0,181.0,17.0
NM,MCKINLEY,32,36.0,114.0,9.0
NM,MCKINLEY,33,53.0,277.0,15.0
NM,MCKINLEY,34,29.0,145.0,2.0
NM,MCKINLEY,35,29.0,132.0,10.0
NM,MCKINLEY,36,7.0,50.0,6.0
NM,MCKINLEY,37,12.0,74.0,3.0
NM,MCKINLEY,38,25.0,131.0,8.0
NM,MCKINLEY,39,68.0,181.0,9.0
NM,MCKINLEY,40,25.0,92.0,5.0
NM,MCKINLEY,41,48.0,237.0,5.0
NM,MCKINLEY,42,45.0,76.0,3.0
NM,MCKINLEY,43,144.0,295.0,18.0
NM,MCKINLEY,44,86.0,125.0,15.0
NM,MCKINLEY,45,105.0,197.0,13.0
NM,MCKINLEY,46,117.0,229.0,12.0
NM,MCKINLEY,47,25.0,113.0,9.0
NM,MCKINLEY,48,94.0,346.0,22.0
NM,MCKINLEY,49,186.0,341.0,14.0
NM,MCKINLEY,50,38.0,65.0,2.0
NM,MCKINLEY,51,23.0,215.0,10.0
NM,MCKINLEY,52,75.0,100.0,9.0
NM,MCKINLEY,53,20.0,310.0,22.0
NM,MCKINLEY,54,47.0,255.0,20.0
NM,MCKINLEY,55,34.0,194.0,13.0
NM,MCKINLEY,56,129.0,186.0,16.0
NM,MCKINLEY,57,18.0,196.0,14.0
NM,MCKINLEY,58,81.0,206.0,15.0
NM,MCKINLEY,59,53.0,103.0,4.0
NM,MCKINLEY,60,18.0,148.0,9.0
NM,MCKINLEY,61,8.0,128.0,15.0
NM,MCKINLEY,62,15.0,137.0,9.0
NM,MORA,1,82.0,356.0,18.0
NM,MORA,2,64.0,311.0,13.0
NM,MORA,3,44.0,145.0,7.0
NM,MORA,4,34.0,203.0,7.0
NM,MORA,5,41.0,140.0,5.0
NM,MORA,6,27.0,93.0,5.0
NM,MORA,7,15.0,110.0,2.0
NM,MORA,8,58.0,162.0,3.0
NM,MORA,9,17.0,57.0,3.0
NM,MORA,10,34.0,81.0,3.0
NM,MORA,11,48.0,130.0,6.0
NM,QUAY,1,85.0,4.0,4.0
NM,QUAY,2,55.0,3.0,0.0
NM,QUAY,3,123.0,58.0,5.0
NM,QUAY,4,40.0,8.0,8.0
NM,QUAY,5,396.0,123.0,15.0
NM,QUAY,6,212.0,88.0,15.0
NM,QUAY,7,64.0,234.0,13.0
NM,QUAY,8,66.0,79.0,15.0
NM,QUAY,9,169.0,215.0,23.0
NM,QUAY,10,43.0,148.0,2.0
NM,QUAY,11,209.0,218.0,26.0
NM,QUAY,12,176.0,122.0,11.0
NM,RIO ARRIBA,1,34.0,311.0,11.0
NM,RIO ARRIBA,2,126.0,620.0,26.0
NM,RIO ARRIBA,3,64.0,232.0,15.0
NM,RIO ARRIBA,4,110.0,419.0,21.0
NM,RIO ARRIBA,5,43.0,227.0,14.0
NM,RIO ARRIBA,6,19.0,148.0,3.0
NM,RIO ARRIBA,7,50.0,353.0,11.0
NM,RIO ARRIBA,8,26.0,123.0,13.0
NM,RIO ARRIBA,9,38.0,194.0,5.0
NM,RIO ARRIBA,10,71.0,330.0,17.0
NM,RIO ARRIBA,11,219.0,643.0,43.0
NM,RIO ARRIBA,12,55.0,204.0,16.0
NM,RIO ARRIBA,13,100.0,441.0,16.0
NM,RIO ARRIBA,14,42.0,264.0,9.0
NM,RIO ARRIBA,15,8.0,101.0,10.0
NM,RIO ARRIBA,16,38.0,179.0,4.0
NM,RIO ARRIBA,17,5.0,89.0,6.0
NM,RIO ARRIBA,18,72.0,213.0,18.0
NM,RIO ARRIBA,19,74.0,128.0,4.0
NM,RIO ARRIBA,20,160.0,332.0,21.0
NM,RIO ARRIBA,21,11.0,21.0,2.0
NM,RIO ARRIBA,22,11.0,59.0,4.0
NM,RIO ARRIBA,23,22.0,109.0,4.0
NM,RIO ARRIBA,24,77.0,501.0,22.0
NM,RIO ARRIBA,25,81.0,33.0,4.0
NM,RIO ARRIBA,26,42.0,128.0,5.0
NM,RIO ARRIBA,27,15.0,37.0,0.0
NM,RIO ARRIBA,28,1.0,16.0,0.0
NM,RIO ARRIBA,29,3.0,8.0,0.0
NM,RIO ARRIBA,30,46.0,50.0,3.0
NM,RIO ARRIBA,31,39.0,352.0,15.0
NM,RIO ARRIBA,32,52.0,175.0,5.0
NM,RIO ARRIBA,33,12.0,48.0,3.0
NM,RIO ARRIBA,34,0.0,3.0,0.0
NM,RIO ARRIBA,35,75.0,353.0,26.0
NM,RIO ARRIBA,36,169.0,565.0,32.0
NM,RIO ARRIBA,37,14.0,89.0,4.0
NM,RIO ARRIBA,38,88.0,432.0,21.0
NM,RIO ARRIBA,39,94.0,423.0,20.0
NM,RIO ARRIBA,40,65.0,339.0,11.0
NM,RIO ARRIBA,41,29.0,511.0,14.0
NM,RIO ARRIBA,42,15.0,80.0,6.0
NM,ROOSEVELT,1,108.0,107.0,15.0
NM,ROOSEVELT,2,4.0,2.0,0.0
NM,ROOSEVELT,7,44.0,65.0,6.0
NM,ROOSEVELT,8,45.0,156.0,10.0
NM,ROOSEVELT,9,336.0,188.0,39.0
NM,ROOSEVELT,12,149.0,113.0,17.0
NM,ROOSEVELT,13,34.0,51.0,9.0
NM,ROOSEVELT,14,143.0,102.0,20.0
NM,ROOSEVELT,16,68.0,30.0,7.0
NM,ROOSEVELT,17,197.0,69.0,10.0
NM,ROOSEVELT,18,260.0,62.0,9.0
NM,SAN JUAN,1,94.0,412.0,30.0
NM,SAN JUAN,2,63.0,349.0,32.0
NM,SAN JUAN,3,67.0,268.0,46.0
NM,SAN JUAN,4,112.0,578.0,59.0
NM,SAN JUAN,5,130.0,611.0,75.0
NM,SAN JUAN,6,39.0,142.0,13.0
NM,SAN JUAN,7,29.0,194.0,14.0
NM,SAN JUAN,8,92.0,529.0,63.0
NM,SAN JUAN,9,25.0,149.0,10.0
NM,SAN JUAN,10,44.0,234.0,19.0
NM,SAN JUAN,11,59.0,217.0,27.0
NM,SAN JUAN,12,30.0,181.0,20.0
NM,SAN JUAN,13,45.0,332.0,33.0
NM,SAN JUAN,14,25.0,147.0,10.0
NM,SAN JUAN,15,50.0,245.0,19.0
NM,SAN JUAN,16,104.0,359.0,39.0
